Name,Price,Date
EVGA Geforce RTX 2080ti Black,799.0,30 Jan 2020
Palit GeForce RTX 2080Ti Gaming Pro 11GB GDDR6 Graphics Card Nvidia,750.0,3 Feb 2020
Palit GeForce RTX 2080Ti Gaming Pro 11GB GDDR6 Graphics Card Nvidia,720.0,4 Feb 2020
Palit GeForce RTX 2080Ti Gaming Pro 11GB GDDR6 Graphics Card Nvidia,690.0,4 Feb 2020
Palit GeForce RTX 2080TI Gaming Pro OC 11GB GDDR6 VR Ready Graphics Card,700.0,7 Feb 2020
Palit GeForce RTX 2080TI Gaming Pro OC 11GB GDDR6 VR Ready Graphics Card,730.0,12 Feb 2020
MSI Ventus Nvidia RTX 2080 Ti 11GB GPU + Fitted Corsair Waterblock + Air Cooler,900.0,14 Feb 2020
ASUS NVIDIA GeForce RTX 2080 Ti 11GB GDDR6 Graphics Card (TURBO-RTX2080TI-11G),750.0,15 Feb 2020
ASUS NVIDIA GeForce RTX 2080 Ti 11GB GDDR6 Graphics Card (TURBO-RTX2080TI-11G),725.0,19 Feb 2020
EVGA NVIDIA GeForce RTX 2080 TI 11GB GDDR6 Graphics Card Black Edition,650.0,24 Feb 2020
Nvidia Geforce RTX 2080 Ti EVGA Blower 11GB GDDR6 Graphics Card,795.0,25 Feb 2020
EVGA GeForce RTX 2080 Ti FTW3 Ultra Gaming 11GB GDDR6 Graphics Card,1008.0,25 Feb 2020
ASUS RTX 2080 Ti 11GB Ray Tracing Turbo Turing Graphics Card,779.0,26 Feb 2020
EVGA NVIDIA GeForce RTX 2080 Ti - Read Description!,820.0,27 Feb 2020
Nvidia Geforce RTX 2080 Ti ASUS Turbo 11GB GDDR6 Graphics Card,780.0,27 Feb 2020
Nvidia Geforce RTX 2080 Ti Aorus Blower 11GB GDDR6 Graphics Card,740.0,27 Feb 2020
Nvidia Geforce RTX 2080 Ti MSI Gaming X Trio11GB GDDR6 Graphics Card,840.0,28 Feb 2020
Asus ROG Strix GeForce RTX 2080 Ti OC Edition 11GB GDDR6 perfect condition,920.0,29 Feb 2020
Nvidia GeForce RTX 2080 Ti 11GB with EK waterblock,822.6,2 Mar 2020
Inno3D Nvidia GeForce RTX 2080 Ti Gaming OC X3,770.0,2 Mar 2020
EVGA NVIDIA 2080ti XC Ultra / RTX GEFORCE,853.0,6 Mar 2020
ASUS NVIDIA GeForce RTX 2080 Ti 11GB GDDR6 Graphics Card (TURBO-RTX2080TI-11G),640.0,7 Mar 2020
ASUS NVIDIA GeForce RTX 2080 Ti 11GB GDDR6 Graphics Card (TURBO-RTX2080TI-11GB,740.0,8 Mar 2020
Nvidia Geforce RTX 2080 Ti Gigabyte Gaming OC 11GB GDDR6 Graphics Card,805.0,8 Mar 2020
Asus ROG Strix GeForce RTX 2080 Ti OC Edition 11GB + EK Waterblock + Backplate,932.0,9 Mar 2020
Nvidia GeForce RTX 2080 Ti Palit Gaming Pro 11GB GDDR6 RayTracing Graphics Card,799.95,10 Mar 2020
EVGA GEFORCE NVIDIA RTX 2080 TI XC ULTRA 11GB GDDR6 GRAPHICS CARD ,800.0,17 Mar 2020
"MSI GeForce RTX™ 2080 Ti DUKE 11GB OC, PCI Express x16 3.0 Graphics Card",899.0,19 Mar 2020
ASUS ROG Strix GeForce RTX 2080 Ti OC Edition 11 GB Graphic Card GDDR6,855.0,20 Mar 2020
Nvidia GeForce RTX 2080 AMP! Extreme Edition 8GB GDDR6 VR Gaming Graphics Card,496.0,20 Mar 2020
MSI GeForce RTX 2080 Ti Gaming X Trio 11GB GDDR6 perfect cond. (£836 WITH CODE),880.0,22 Mar 2020
Watercooled GeForce RTX 2080 TI GamingPro OC Graphics Card (NE6208TS20LC-150A),750.0,22 Mar 2020
